Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
205667:3203,1095,85273117.2737,"[1-165], [168-282], [285-318], [321-412], [415-689], [692-751], [754-774], [777-1109]",84516035.653
205683:3204,224,29041927.6693,"[76-82], [85-178], [181-198], [201-305]",28319977.8402
205690:3204,40,4431193.22468,[1-40],4334962.03875
205694:3204,881,62404059.7012,"[1-205], [208-230], [233-347], [350-452], [455-593], [595-890]",61851396.3823
205718:3207,632,86381882.0977,"[49-75], [78-97], [100-103], [105-176], [178-338], [341-361], [363-524], [527-531], [534-589], [591-694]",84260496.6934
205774:3208,80,10970963.1406,[1-80],10767747.9204
205777:3208,8,1061792.35861,[1-8],924559.551591
205781:3208,499,55069872.6638,"[1-89], [91-197], [200-502]",54243106.1538
205826:3209,385,51596207.7793,"[80-232], [235-303], [306-468]",50580003.7805
205833:3210,264,39035569.0911,"[84-86], [89-121], [123-155], [157-165], [167-173], [176-219], [221-267], [270-312], [315-346], [350-355], [360-366]",37924833.3479
205834:3210,194,23470556.6319,"[1-12], [14-195]",23142085.8426
205908:3212,141,21081894.8358,"[68-200], [202-209]",20497846.2709
205921:3214,811,92078395.185,"[22-73], [76-268], [271-394], [397-401], [410-428], [431-498], [500-571], [574-779], [782-853]",90241452.8912
206066:3220,58,8580360.95258,[89-146],8263652.05539
206088:3223,196,28341860.2288,"[86-159], [161-178], [181-199], [202-286]",27243571.6584
206102:3226,254,35391820.0141,"[83-116], [120-130], [133-208], [211-235], [238-246], [249-278], [281-349]",34446926.4588
206187:3229,588,79171423.8821,"[107-169], [172-242], [245-288], [290-340], [343-427], [429-435], [437-486], [489-569], [571-647], [649-662], [664-708]",77300339.8241
206188:3229,54,5788488.72424,"[1-40], [42-55]",5733631.26455
206199:3231,111,14903394.6678,"[1-75], [77-82], [85-114]",14618333.5248
206207:3232,598,77519286.7401,"[82-130], [132-176], [179-194], [196-388], [390-419], [422-447], [450-569], [572-690]",76222144.1199
206208:3232,517,46462551.3631,"[1-470], [472-518]",46035311.0715
206210:3232,450,30965028.1537,"[11-25], [28-275], [277-298], [300-383], [386-466]",30686888.1774
206243:3236,829,101361991.409,"[62-169], [172-196], [199-354], [357-433], [435-448], [451-533], [536-554], [557-723], [726-905]",99299791.3677
206245:3236,62,5414626.04532,[1-62],5291177.09659
206246:3236,1272,80251047.1727,"[1-14], [16-237], [240-285], [288-407], [412-676], [678-704], [706-785], [787-962], [965-997], [1000-1198], [1201-1290]",79578362.7444
206257:3236,29,1211458.93305,[1-29],1167459.38418
206258:3236,245,9364877.30915,"[1-36], [39-223], [226-249]",9279499.39534
206302:3238,262,34009601.5174,"[1-8], [11-33], [36-44], [47-82], [84-108], [110-149], [151-186], [189-229], [231-232], [234-241], [243-276]",33422826.0369
206303:3238,283,29898819.4739,"[1-19], [23-286]",29465233.145
206304:3238,61,5744489.1822,"[1-4], [6-62]",5697926.92157
206331:3240,220,32601549.1493,"[91-222], [225-312]",31991826.6695
206389:3242,300,42478796.9488,"[88-185], [187-249], [252-272], [275-392]",41291932.2669
206391:3242,90,8977048.41019,"[1-55], [57-91]",8900964.23291
206401:3244,335,49308507.124,"[69-90], [92-194], [197-210], [212-249], [251-265], [267-409]",48103638.0716
206446:3249,1004,115783169.043,"[92-141], [143-159], [162-205], [208-301], [304-442], [445-445], [448-474], [476-616], [619-872], [874-910], [912-948], [950-989], [992-1030], [1033-1075], [1109-1149]",113626061.325
206448:3249,1230,78588397.484,"[1-143], [145-559], [561-1170], [1173-1231], [1235-1237]",77796167.1634
206466:3250,638,81812665.6342,"[24-137], [140-277], [280-296], [299-303], [306-405], [407-419], [422-477], [480-511], [514-676]",80121873.4061
206476:3252,141,21927264.9901,"[73-129], [133-137], [140-141], [143-219]",20680064.8854
206477:3252,171,22786007.5782,"[1-14], [16-31], [33-41], [44-51], [53-70], [73-75], [77-89], [91-94], [97-115], [118-184]",21992471.0888
206478:3252,141,16535080.1021,"[1-27], [29-136], [139-144]",16359226.0916
206484:3253,583,76840220.6677,"[73-95], [98-133], [136-163], [166-186], [189-384], [387-463], [465-551], [554-554], [556-669]",75360245.1596
206512:3259,1103,116923376.769,"[91-123], [125-133], [136-161], [163-190], [193-201], [203-212], [214-332], [334-584], [587-604], [607-1005], [1008-1123], [1126-1163], [1165-1211]",115124713.919
206513:3259,313,22383441.0519,"[3-39], [42-188], [191-234], [237-238], [241-323]",22231369.8707
206542:3261,819,98393035.2421,"[1-115], [117-165], [168-511], [514-547], [550-603], [606-668], [671-727], [730-739], [741-833]",96434061.4372
206550:3262,66,9978705.34499,"[77-132], [135-144]",9582812.77153
206572:3264,11,1783870.85734,[37-47],1394647.38376
206573:3264,13,2006465.54272,[2-14],1825469.08488
206574:3264,87,12241859.4294,[1-87],11975809.5375
206575:3264,66,8431584.9296,"[1-7], [10-10], [12-69]",8269791.83417
206594:3265,206,30299900.9674,"[72-107], [110-246], [249-281]",29432565.4738
206595:3265,189,23275223.647,"[1-34], [37-42], [45-193]",23003553.7283
206596:3265,800,71097869.2427,"[1-13], [15-220], [222-228], [231-236], [239-292], [295-695], [697-728], [730-810]",70360331.2733
206598:3265,714,43318169.891,"[1-81], [83-103], [105-588], [591-657], [659-719]",43001385.133
206605:3265,76,3803748.75065,"[1-36], [39-78]",3782422.90267
206744:3266,398,51172375.5191,"[49-157], [160-192], [195-395], [398-452]",50239895.4363
206745:3266,1850,132866317.899,"[1-81], [84-199], [202-224], [227-237], [240-304], [306-318], [321-720], [723-796], [799-894], [897-944], [946-1106], [1108-1524], [1527-1862], [1988-1996]",131761622.434
206859:3269,754,97555770.6714,"[79-210], [212-258], [260-323], [325-356], [359-609], [612-681], [684-732], [734-768], [771-808], [811-827], [830-848]",95829640.4913
206866:3269,271,25603938.6829,"[1-30], [33-113], [115-274]",25369899.5915
206868:3269,10,850093.338116,"[1-3], [10-16]",808563.741593
206869:3269,743,52518569.498,"[1-251], [253-271], [274-502], [507-520], [522-566], [568-752]",52111161.4454
206897:3272,124,18749080.9946,"[1-34], [38-61], [63-102], [109-109], [111-112], [114-131], [133-137]",17333627.9289
206901:3272,98,13253462.2836,[1-98],13024915.6068
206906:3272,194,23180436.8666,"[1-31], [38-94], [96-136], [138-139], [142-149], [151-175], [177-206]",21899319.2212
206940:3273,1017,98899650.6844,"[1-151], [153-153], [155-298], [301-382], [384-712], [715-803], [805-960], [963-1027]",97664584.4552
207099:3279,1070,120584474.561,"[83-134], [137-172], [175-213], [216-314], [316-320], [323-330], [333-367], [370-481], [484-602], [605-755], [757-1046], [1048-1171]",118807986.429
207100:3279,92,7290262.50262,"[1-91], [94-94]",7219180.43888
207214:3285,745,89811714.7358,"[57-112], [114-177], [179-181], [184-196], [199-220], [223-262], [265-405], [408-482], [485-640], [643-708], [718-757], [759-808], [811-829]",88384353.1615
207217:3285,32,2921968.80023,[1-32],2885537.77103
207219:3285,112,9829862.1324,[1-112],9651430.86766
207220:3285,160,13095497.7534,[1-160],12900062.2867
207221:3285,102,7746183.12276,[1-102],7628678.89219
207222:3285,287,19801780.0479,"[1-17], [20-289]",19622923.5716
207231:3286,1405,148720103.315,"[70-84], [86-121], [123-184], [187-189], [192-303], [306-354], [357-481], [484-504], [508-549], [552-626], [628-690], [693-875], [878-1000], [1003-1170], [1173-1187], [1189-1227], [1229-1415], [1418-1445], [1447-1505]",144469616.161
207233:3286,147,9777436.18257,"[1-119], [121-148]",9696062.64488
207269:3287,476,58690173.968,"[80-394], [397-436], [439-463], [466-551], [568-577]",57632522.886
207273:3287,875,74152389.0651,[3-877],73537048.6077
207279:3288,997,107741039.469,"[68-138], [141-149], [151-237], [240-266], [269-307], [309-416], [498-551], [554-640], [643-961], [963-1095], [1098-1160]",106216681.415
207320:3288,349,21215642.0098,"[1-110], [112-350]",21039313.3412
207371:3292,51,7241814.11209,"[72-117], [120-124]",7027127.75115
207372:3292,489,57097174.9812,"[1-27], [30-113], [116-154], [156-174], [176-478], [480-496]",55977985.1716
207397:3293,144,21342795.4944,"[32-77], [80-140], [143-179]",20797242.2605
207398:3293,32,4272538.38295,"[1-14], [16-33]",4208152.31686
207454:3296,1880,176170059.553,"[79-95], [98-123], [126-259], [261-363], [365-458], [461-498], [501-609], [612-632], [635-781], [784-866], [869-974], [977-1064], [1067-1079], [1081-1321], [1323-1464], [1467-1569], [1571-1604], [1607-1712], [1714-1988]",173956109.637
207469:3297,43,7079210.58524,"[1-31], [34-45]",6883325.16135
207477:3298,480,67116295.5994,"[76-104], [107-111], [114-147], [150-295], [298-483], [486-494], [497-527], [530-563], [565-570]",65688405.8908
207487:3299,415,58050023.1125,"[50-98], [101-311], [313-359], [363-468], [471-472]",56800181.0134
207488:3299,427,44493724.5402,"[1-63], [66-92], [95-113], [116-198], [200-250], [252-288], [291-365], [368-377], [379-440]",43987614.352
207490:3299,109,9789503.00061,"[1-48], [51-111]",9643381.96859
207491:3299,456,34542218.7548,"[1-176], [179-458]",34256760.9521
207492:3299,296,18527064.6825,"[1-20], [23-298]",18358066.1539
207515:3300,1113,132035899.109,"[79-109], [112-132], [134-208], [211-225], [228-320], [322-381], [383-498], [500-730], [733-849], [851-954], [957-994], [997-1052], [1055-1143], [1145-1211]",129742730.282
207517:3300,55,4514694.13562,"[1-12], [15-57]",4476929.85342
207518:3300,82,6434115.16045,"[1-59], [61-83]",6384046.99392
207882:3318,24,3462415.89586,[22-45],3218600.23631
207883:3318,72,9956679.02951,"[1-1], [3-4], [7-75]",9241369.19963
207884:3318,182,22838109.0173,"[1-106], [108-183]",22220246.6257
207885:3318,90,9824968.92839,[1-90],9343392.02068
207886:3318,167,16811949.1244,"[1-30], [32-90], [92-156], [158-166], [168-171]",16347324.2667
207889:3318,931,67833039.8414,"[1-43], [47-57], [60-303], [306-442], [445-445], [447-551], [553-731], [733-907], [910-945]",67080003.4366
207898:3319,268,34777364.4249,"[1-33], [36-57], [60-235], [239-257], [260-277]",34038967.6631
207905:3322,1700,164693615.231,"[75-196], [198-281], [284-329], [331-402], [404-565], [568-672], [675-805], [807-850], [852-861], [864-884], [886-1180], [1183-1283], [1285-1331], [1333-1515], [1518-1734], [1737-1796]",162210782.195
